AcresBurned,AdminUnit,ArchiveYear,CalFireIncident,Counties,CountyIds,Extinguished,Latitude,Location,Longitude,MajorIncident,Name,Started,UniqueId,Duration,Year,AvgPrecip,PrecipBucket
257314.0,Stanislaus National Forest/Yosemite National Park,2013,True,Tuolumne,55,2013-09-06 18:30:00+00:00,37.857,3 miles east of Groveland along Hwy 120,-120.086,False,Rim Fire,2013-08-17 15:25:00+00:00,5fb18d4d-213f-4d83-a179-daaf11939e78,20.12847222222222,2013.0,0.01,Low
30274.0,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2013,True,Los Angeles,19,2013-06-08 18:30:00+00:00,34.585595,Angeles National Forest,-118.423176,False,Powerhouse Fire,2013-05-30 15:28:00+00:00,bf37805e-1cc2-4208-9972-753e47874c87,9.126388888888888,2013.0,0.01,Low
27531.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013,True,Riverside,33,2013-07-30 18:00:00+00:00,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,False,Mountain Fire,2013-07-15 13:43:00+00:00,a3149fec-4d48-427c-8b2c-59e8b79d59db,15.178472222222222,2013.0,0.01,Low
27440.0,Tahoe National Forest,2013,False,Placer,31,2013-08-30 08:00:00+00:00,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,False,American Fire,2013-08-10 16:30:00+00:00,8213f5c7-34fa-403b-a4bc-da2ace6e6625,19.645833333333332,2013.0,0.01,Low
24251.0,Ventura County Fire/CAL FIRE,2013,True,Ventura,56,2013-05-11 06:30:00+00:00,0.0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0.0,True,Springs Fire,2013-05-02 07:01:00+00:00,46731fb8-3350-4920-bdf7-910ac0eb715c,8.978472222222223,2013.0,0.01,Low
22992.0,Sierra National Forest,2013,False,Fresno,10,2013-09-24 20:15:00+00:00,37.279,Seven miles north of Big Creek,-119.318,False,Aspen Fire,2013-07-22 22:15:00+00:00,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,63.916666666666664,2013.0,0.01,Low
20292.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013,True,Riverside,33,2013-08-12 18:00:00+00:00,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,True,Silver Fire,2013-08-07 14:05:00+00:00,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,5.163194444444445,2013.0,0.01,Low
14754.0,Klamath National Forest,2013,False,Siskiyou,47,2013-08-31 06:45:00+00:00,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,False,Salmon River Complex,2013-07-31 22:00:00+00:00,ba76c009-09c9-497c-b923-1ac8cf05c20d,30.364583333333332,2013.0,0.01,Low
12503.0,Six Rivers National Forest,2013,False,Humboldt,12,2013-08-12 12:00:00+00:00,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,False,Corral Complex,2013-08-10 11:40:00+00:00,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,2.013888888888889,2013.0,0.01,Low
11429.0,CAL FIRE Tehama-Glenn Unit,2013,True,Tehama,52,2013-08-29 16:45:00+00:00,40.04263,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85397,True,Deer Fire,2013-08-23 14:15:00+00:00,956dbcf6-db40-4b61-b235-4ede14738f1e,6.104166666666667,2013.0,0.01,Low
8073.0,CAL FIRE Shasta-Trinity Unit,2013,True,Shasta,45,2013-09-15 07:30:00+00:00,40.498332,"Community of Igo, 10 miles southwest of Redding",-122.535496,True,Clover Fire,2013-09-09 12:32:00+00:00,92af9783-eda9-4186-afe9-447f61a92636,5.790277777777778,2013.0,0.01,Low
7055.0,CAL FIRE San Diego Unit / Cleveland National Forest,2013,True,San Diego,37,2013-07-15 06:15:00+00:00,32.95435,"off Sunrise Hwy, 9 miles southeast of Julian",-116.47381,True,Chariot Fire,2013-07-06 12:55:00+00:00,ee19b2ec-a96a-4738-994e-fb3ea016e053,8.722222222222221,2013.0,0.01,Low
6965.0,CAL FIRE Butte Unit,2013,True,Tehama,52,2013-05-09 09:00:00+00:00,40.190062,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,True,Panther Fire,2013-05-01 09:12:00+00:00,53122f0f-fefc-4dbf-b2d8-566b42ced66d,7.991666666666666,2013.0,0.01,Low
4346.0,CAL FIRE / USFS Los Padres National Forest,2013,True,Kern,"15,56",2013-05-21 19:45:00+00:00,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,True,Grand Fire,2013-05-15 12:50:00+00:00,e0d038e9-0926-4c05-8317-ec7075a04b12,6.288194444444445,2013.0,0.01,Low
