year,fire_name,acres,county,latitude,longitude
2023.0,WHITWORTH,5.729125,Siskiyou,41.532169764473146,-122.91208668283251
2023.0,KAISER,13.602385,Butte,39.830738202478024,-121.96283983176151
2023.0,JACKSON,27.814465,Amador,38.295097250390526,-120.90469328297898
2023.0,CARBON,58.760227,Amador,38.441964349491144,-120.98417336179885
2023.0,LIBERTY,70.979,Amador,38.247221929158194,-120.9959302203329
2023.0,CLAY,28.637909,Sacramento,38.30867675707311,-121.0726587517948
2023.0,PAICINES,13.593129,San Benito,36.74455359790995,-121.28259469152601
2023.0,VINEYARD,391.37494,Monterey,35.795132880512185,-120.69302825344093
2023.0,SLACKS,40.41796,Monterey,35.877585102798825,-120.56955679642817
2023.0,IDRIA,296.64453,San Benito,36.47905008991403,-120.80385848430222
2023.0,WONDER,161.81369,Shasta,40.74096379477087,-122.32917548067893
2023.0,PINE,11.918015,Shasta,40.42695492246972,-122.38796312329374
2023.0,OLIVE,20.67,Shasta,40.44224039682031,-122.43892043125945
2023.0,TURKEY,52.17383,Butte,39.45291386148555,-121.39771895172953
2023.0,VIRGINIA,10.072015,Butte,39.489130435424684,-121.5470397451294
2023.0,RABBIT,8354.776,Riverside,33.891472856116195,-117.02137829200899
2023.0,HIGHLAND,104.02066,Riverside,33.90266028921936,-116.94219930456966
2023.0,RECHE,435.68396,Riverside,33.97419283501337,-117.21446933241266
2023.0,GAVILAN,334.58276,Riverside,33.807682875555415,-117.34918764973162
2023.0,RAMONA,337.93158,Riverside,33.810289337147665,-117.04522819444037
2023.0,CEMETERY,74.10231,Butte,39.37990407706024,-121.69800599708248
2023.0,1-10,56.87772,Trinity,40.019477988184526,-123.24765470839436
2023.0,CANA,19.288158,Butte,39.832305786212004,-121.9898904500897
2023.0,MISTY,11.7,El Dorado,38.69009609793045,-120.91774855854126
2023.0,HIGHLAND,2487.0,Riverside,33.45454285080435,-116.85589389756856
2023.0,PLYMOUTH,11.1,Amador,38.516234908944824,-120.84295663802041
2023.0,WALL,11.122622,Butte,39.45854566307291,-121.41124500025599
2023.0,HOSTLY,83.712685,Kern,35.517008757651396,-119.78433196202839
2023.0,ADOBE,5.9487286,Kern,35.5529355181911,-118.93332116890986
2023.0,LAZY,3.2677271,Kern,35.40372620699951,-118.79970003167016
2023.0,BITTER,225.64061,Kern,35.57220346580582,-119.99479511342008
2023.0,LAVENDER ,14.74279,Kern,35.6120849887486,-119.97094608533303
2023.0,POND,6.7633452,Kern,35.78850411350816,-119.32339543344925
2023.0,ELK,9.687215,Kern,35.04623231014325,-119.42716514783598
2023.0,TOLL,6.8605866,Kern,35.27539218815219,-118.6220056472226
2023.0,POINT,4.915308,Kern,35.1308818374992,-118.76921789068238
2023.0,PENTLAND,83.475555,Kern,35.02649383447524,-119.34394687136933
2023.0,LITTLE,59.267845,Kern,35.57856482751172,-119.07783456467195
2023.0,ELK,5.666053,Kern,35.31387173318926,-119.51522828450533
2023.0,TANK,5.7773776,Kern,35.72594969272206,-120.19190764963042
2023.0,FAMOSO,6.419109,Kern,35.62566830986032,-119.03996132967426
2023.0,LAST,3.3347123,Kern,35.41068392329132,-119.68748651593985
2023.0,POST,5.966745,Kern,35.59363148146411,-118.49275741570412
2023.0,WATER,7.9617214,Kern,35.613545151950184,-119.92037253273234
2023.0,CHAMPAGNE,107.84875,Kern,34.943859428331336,-118.4716417855298
2023.0,TRUCK,17.156965,Kern,34.99384456494233,-119.42883453409416
2023.0,ROUND,536.0197,Kern,35.620176601366495,-118.96446784023745
2023.0,CANYON,9.05986,Kern,35.1009317366938,-118.3103825870445
2023.0,SOUTH 2,9.613276,Kern,35.61137883781362,-118.9633305469864
2023.0,TREE,6.1701913,Kern,35.12331534512598,-118.50206230314687
2023.0,BAKER,3.7237601,Kern,35.30131824860373,-118.69304352679781
2023.0,MID,4.990486,Kern,35.192960411990384,-119.48104773963301
2023.0,DISTRICT,1043.665,Kern,34.890143502689895,-118.89998365995353
2023.0,BODFISH,52.757534,Kern,35.291708511009276,-118.66846216664051
2023.0,SCODIE,20.61374,Kern,35.698847979939416,-118.21578165909463
2023.0,BEALE,60.6251,Kern,35.25908307001559,-118.62483378976997
2023.0,HABERKERN,34.74714,Kern,34.841042832123335,-118.872969808018
2023.0,COMANCHE,4.3875246,Kern,35.35989031607681,-118.81089386731274
2023.0,EAST,1291.1656,Kern,35.49249647329402,-118.87454166235244
2023.0,EDMONSTON,14.590142,Kern,34.92876399530057,-118.92980958206475
2023.0,ALMOND,5228.871,Kern,35.559478986662434,-119.84330714961176
2023.0,BOULEVARD,89.46474,Kern,35.09407530467622,-118.29765494187008
2023.0,BRITE,3.8167157,Kern,35.10685399765702,-118.53170292376312
2023.0,GENERAL,16.050684,Kern,35.19284087022525,-118.7687868047255
2023.0,TROTTER,52.547165,Kern,35.13921451040357,-118.60106814482864
2023.0,GROVE,4.713907,Kern,35.10487235770439,-118.3168616795171
2023.0,BLACKWELL,34.649033,Kern,35.56884955022543,-119.88859802043746
2023.0,SEMI,4.0159955,Kern,35.271234815206874,-118.70395726293421
2023.0,DEN,33.320766,Kern,35.77609187617855,-120.03231113242681
2023.0,ROLLING,7.908133,Kern,35.26241099472195,-118.63951800828092
2023.0,TULE,7.309518,Kern,35.65244299330604,-118.9721029725791
2023.0,CALIENTE ,55.02539,Kern,35.268634332231876,-118.61398081474894
2023.0,FLAT,10.37647,Kern,35.25226173034622,-118.60301024303557
2023.0,TOWER ,5.175606,Kern,35.329746879962094,-118.75452464717232
2023.0,POSO ,5.0022383,Kern,35.585758369309126,-118.96759208678044
2023.0,BLUE BARN ,7.971368,Kern,35.583217548942315,-118.96310458412125
2023.0,CORNER,6.4306293,Kern,35.61343318411303,-119.96085169691503
2023.0,ROCK,13.717119,Kern,34.99943288183676,-118.96596849052887
2023.0,SKY,4.4403057,Kern,35.28826352897122,-119.52524585314484
2023.0,LIERLY,3.0306878,Kern,35.0995490082587,-119.46249492702418
2023.0,ANNETTE,5.2266283,Kern,35.70511506842887,-120.15515450291227
2023.0,CREEK,6.3157287,Kern,35.32602458990117,-118.42389501300599
2023.0,SHERWOOD,8.496378,Kern,35.615407999294426,-118.96542050148881
2023.0,CROCKER,8.202892,Kern,35.206293294749294,-119.61095608199345
2023.0,BRONZE,5.4876614,Kern,35.61538885495486,-119.03846671636241
2023.0,KERN,16.764347,Kern,35.38780335206957,-119.75270738736252
2023.0,LINE,86.276695,Kern,35.48835536159645,-119.74140743935689
2023.0,FIELD,15.041389,Kern,35.58594229093735,-118.97947584930117
2023.0,FANO,3.0004704,Kern,35.491102594728574,-119.0447310524522
2023.0,FANO 2,3.4336216,Kern,35.48055591479688,-119.05690968069482
2023.0,FRONT,7.2589087,Kern,35.47785853324125,-119.06236804309452
2023.0,HOLLOW,13.32836,Kern,35.534666096054885,-119.02516567078094
2023.0,PLANT,5761.5215,Santa Barbara,34.93249494843305,-119.78781214974316
2023.0,SUN,211.19197,Santa Barbara,34.55959918838204,-120.32853343712276
2023.0,GRADE,95.66613,Santa Barbara,34.55845603936988,-120.18587223170906
2023.0,SCOTT,94.27705,Yuba,39.32501103875666,-121.3654985845246
2023.0,PEOIRA,58.00984,Yuba,39.25121515303811,-121.37461059296844
2023.0,SICARD,13.73,Yuba,39.23871166326058,-121.3467566136977
2023.0,TULE 2,3.12156,Kern,35.67222017939374,-118.91210590224343
2023.0,RANCHO,2.2649,Kern,35.78537479069605,-118.78253464730398
2023.0,PINE,169.973,Kern,35.558870092582374,-118.86854069330033
2023.0,WHISKEY,83.0,Madera,37.19749103950192,-119.46090418873501
2023.0,WILLIAMS,4.5,Monterey,35.98408545095822,-121.0133131114917
2023.0,TRAIL,1.655345,Ventura,34.103628531034815,-119.0534859469605
2023.0,VILLANOVA,13.012357,Ventura,34.43289059056756,-119.2673561411368
2023.0,SOUTH,2715.4,Ventura,34.30370528216009,-119.07602300517512
2023.0,ROCK,531.0221,Riverside,33.87789034515614,-117.1321334911794
2023.0,BONNY,2323.1064,Riverside,33.467443767503426,-116.68325262502795
2023.0,WILLIAMS,53.9,Monterey,36.03121267402189,-121.07250924890776
2023.0,TANWOODS,9.532271,Placer,38.73434126752832,-121.4122667408159
2023.0,FOOTHILLS,25.0,Placer,38.80432107637549,-121.31929980556691
2023.0,BREWER,11.63,Placer,38.80555348715094,-121.44893532733843
2023.0,ERIC,44.0,Yuba,39.03580302060614,-121.37305254861613
2023.0,SPENCEVILLE,10.8,Yuba,39.13419771927503,-121.30680754441394
2023.0,DOOLITTLE,16.6,Yuba,39.18070500734427,-121.39334267900436
